,id,timestamp,stored,version,actor.objectType,actor.name,actor.account.name,actor.account.homePage,verb.id,verb.display.en,context.registration,object.id,object.objectType,verb.display.en-US,result.score.scaled,result.score.raw,result.score.min,result.score.max,result.success,result.completion,result.duration,object.definition.description.en-US,object.definition.type,object.definition.name.en-US,duration
0,844f77ff-82b9-4110-b979-7a502871de12,2022-05-10 23:58:13.992000+00:00,2022-05-10 23:58:14.879000+00:00,1.0.0,Agent,Gabriel Wren,JOFY1QJRK6|gabriel_wren4715@naiker.biz,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/failed,,870ed304-021f-473f-9776-80715c23e014,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,failed,0.53,53.0,0.0,100.0,False,True,PT2M19.886S,,,,0 days 00:02:19.886000
1,7906c6c6-3d68-4aab-aa36-ca989aa245a7,2022-05-10 23:55:54.102000+00:00,2022-05-10 23:55:54.970000+00:00,1.0.0,Agent,Gabriel Wren,JOFY1QJRK6|gabriel_wren4715@naiker.biz,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/attempted,,870ed304-021f-473f-9776-80715c23e014,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,attempted,,,,,,,PT0S,An Assessment for the Golf Example course.,http://adlnet.gov/expapi/activities/assessment,Golf Example Assessment,0 days 00:00:00
2,b72590f9-4f23-4771-ba3d-62155a9602bc,2022-05-10 02:07:39.362000+00:00,2022-05-10 02:07:39.496000+00:00,1.0.0,Agent,Tyler Davies,JOFY1QJRK6|tyler_davies1621@bungar.biz,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/passed,,239a965a-217d-4c77-8fc5-73ccaf759f71,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,passed,0.93,93.0,0.0,100.0,True,True,PT42.928S,,,,0 days 00:00:42.928000
3,9fc93ed0-30f0-4e3e-ae7a-1c8849840307,2022-05-10 02:06:56.434000+00:00,2022-05-10 02:06:56.515000+00:00,1.0.0,Agent,Tyler Davies,JOFY1QJRK6|tyler_davies1621@bungar.biz,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/attempted,,239a965a-217d-4c77-8fc5-73ccaf759f71,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,attempted,,,,,,,PT0S,An Assessment for the Golf Example course.,http://adlnet.gov/expapi/activities/assessment,Golf Example Assessment,0 days 00:00:00
4,10e31299-c0da-40ad-94ff-9e202511e46d,2022-05-10 00:50:27.657000+00:00,2022-05-10 00:50:27.756000+00:00,1.0.0,Agent,Carter Jordan,JOFY1QJRK6|carter_jordan4793@mafthy.com,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/failed,,1d968f9d-bb8c-443a-8ee9-f3f66f12b506,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,failed,0.67,67.0,0.0,100.0,False,True,PT2M2.914S,,,,0 days 00:02:02.914000
5,8dc0ea80-5604-4471-a91a-4ac5fcafa17e,2022-05-10 00:48:24.743000+00:00,2022-05-10 00:48:24.849000+00:00,1.0.0,Agent,Carter Jordan,JOFY1QJRK6|carter_jordan4793@mafthy.com,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/attempted,,1d968f9d-bb8c-443a-8ee9-f3f66f12b506,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,attempted,,,,,,,PT0S,An Assessment for the Golf Example course.,http://adlnet.gov/expapi/activities/assessment,Golf Example Assessment,0 days 00:00:00
6,07a1a926-02de-4efa-9268-3c878f625417,2022-05-08 20:59:24.010000+00:00,2022-05-08 20:59:25.288000+00:00,1.0.0,Agent,Manuel Talbot,JOFY1QJRK6|manuel_talbot2837@fuliss.net,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/passed,,d5d338d2-afbd-4a53-b0bc-1882a7223012,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,passed,1.0,100.0,0.0,100.0,True,True,PT42.003S,,,,0 days 00:00:42.003000
7,84ebaf92-1269-41ea-98e6-d87f58d447c0,2022-05-08 20:58:42.005000+00:00,2022-05-08 20:58:43.202000+00:00,1.0.0,Agent,Manuel Talbot,JOFY1QJRK6|manuel_talbot2837@fuliss.net,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/attempted,,d5d338d2-afbd-4a53-b0bc-1882a7223012,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,attempted,,,,,,,PT0S,An Assessment for the Golf Example course.,http://adlnet.gov/expapi/activities/assessment,Golf Example Assessment,0 days 00:00:00
8,3820e43a-7f0c-4f16-81cd-9b0eed3c6c3e,2022-05-08 20:41:22.480000+00:00,2022-05-08 20:41:23.736000+00:00,1.0.0,Agent,Chad Morris,JOFY1QJRK6|chad_morris6557@ovock.tech,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/failed,,8181693b-fe9e-4b16-87fb-35243d97d2af,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,failed,0.6,60.0,0.0,100.0,False,True,PT1M26.795S,,,,0 days 00:01:26.795000
9,d9c651c9-766b-4b75-8ed7-e2b274be5bd4,2022-05-08 20:39:55.683000+00:00,2022-05-08 20:39:56.898000+00:00,1.0.0,Agent,Chad Morris,JOFY1QJRK6|chad_morris6557@ovock.tech,http://cloud.scorm.com,http://adlnet.gov/expapi/verbs/attempted,,8181693b-fe9e-4b16-87fb-35243d97d2af,http://id.tincanapi.com/activity/tincan-prototypes/golf-example/GolfAssessment,Activity,attempted,,,,,,,PT0S,An Assessment for the Golf Example course.,http://adlnet.gov/expapi/activities/assessment,Golf Example Assessment,0 days 00:00:00
